"","title","cluster"
"1","10 Cloverfield Lane",1
"2","Alice Through the Looking Glass",2
"3","Allied",1
"4","Alvin and the Chipmunks The Road Chip",3
"5","Arrival",2
"6","Assassin's Creed",2
"7","Bad Moms",2
"8","Bad Santa 2",1
"9","Bastille Day",1
"10","Batman v Superman: Dawn of Justice",4
"11","Ben-Hur (2016)",1
"12","Blair Witch",1
"13","Bridget Jones's Baby",3
"14","Brooklyn",1
"15","Cafe Society",1
"16","Captain America: Civil War",4
"17","Captain Fantastic",1
"18","Capture the Flag (Atrapa la bandera)",1
"19","Carol",1
"20","Central Intelligence",2
"21","Collateral Beauty",1
"22","Concussion (2015)",1
"23","Creed",1
"24","Criminal (2016)",1
"25","Daddy's Home",1
"26","Deadpool",5
"27","Deepwater Horizon",1
"28","Dirty Grandpa",2
"29","Doctor Strange",3
"30","Don't Breathe",1
"31","Eddie the Eagle",1
"32","Elle",1
"33","En man som heter Ove",1
"34","Eye in the Sky",1
"35","Fantastic Beasts and Where To Find Them",6
"36","Fifty Shades of Black",1
"37","Finding Dory",4
"38","Florence Foster Jenkins",1
"39","Ghostbusters (2016)",1
"40","Gods of Egypt",2
"41","Goosebumps",1
"42","Hacksaw Ridge",2
"43","Hail, Caesar!",1
"44","Hardcore Henry",1
"45","Hell or High Water",1
"46","How to Be Single",2
"47","I, Daniel Blake",1
"48","Ice Age: Collision Course",7
"49","Independence Day: Resurgence",2
"50","Inferno",3
"51","Jack Reacher: Never Go Back",1
"52","Jason Bourne",2
"53","Joy",1
"54","Julieta",1
"55","Kubo and the Two Strings",1
"56","Kung Fu Panda 3",3
"57","La La Land",1
"58","Les Visiteurs 3: la Terreur (The Visitors: Bastille Day)",1
"59","Lights Out",1
"60","London Has Fallen",2
"61","Masterminds (2016)",1
"62","Me Before You",2
"63","Mechanic: Resurrection",2
"64","Mike and Dave Need Wedding Dates",1
"65","Miss Peregrine's Home for Peculiar Children",2
"66","Moana",3
"67","Money Monster",1
"68","Mother's Day",1
"69","My Big Fat Greek Wedding 2",1
"70","Neighbors 2: Sorority Rising",2
"71","Nerve",1
"72","Nine Lives (2016)",1
"73","Nocturnal Animals",1
"74","Norm of the North",1
"75","Now You See Me 2",3
"76","Office Christmas Party",2
"77","Ouija: Origin of Evil",1
"78","Passengers (2016)",2
"79","Pete's Dragon",1
"80","Point Break (2015)",1
"81","Ratchet & Clank",1
"82","Ride Along 2",1
"83","Risen",1
"84","Robinson Crusoe (2016)",1
"85","Rogue One: A Star Wars Story",8
"86","Room",1
"87","Sausage Party",1
"88","Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)",1
"89","Sing",3
"90","Sisters",1
"91","Snowden",1
"92","Spotlight",1
"93","Star Trek Beyond",2
"94","Storks",2
"95","Suicide Squad",6
"96","Sully",1
"97","Teenage Mutant Ninja Turtles: Out of the Shadows",1
"98","The 5th Wave",1
"99","The Accountant",1
"100","The Angry Birds Movie",3
"101","The BFG",2
"102","The Big Short",1
"103","The Boss",1
"104","The Boy (2016)",1
"105","The Brothers Grimsby",1
"106","The Choice",1
"107","The Conjuring 2",2
"108","The Danish Girl",1
"109","The Divergent Series: Allegiant",2
"110","The Finest Hours",1
"111","The Forest",1
"112","The Girl on the Train (2016)",2
"113","The Hateful Eight",2
"114","The Huntsman Winter's War",1
"115","The Infiltrator",1
"116","The Jungle Book (2016)",4
"117","The Legend of Tarzan",2
"118","The Light Between Oceans",1
"119","The Magnificent Seven (2016)",1
"120","The Nice Guys",1
"121","The Purge: Election Year",1
"122","The Revenant",5
"123","The Secret Life of Pets",5
"124","The Shallows",1
"125","Tini: El gran cambio de Violetta",1
"126","Toni Erdmann",1
"127","Triple 9",1
"128","Trolls",3
"129","Underworld: Blood Wars",1
"130","War Dogs",1
"131","Warcraft",3
"132","Why Him?",2
"133","X-Men: Apocalypse",2
"134","Zoolander 2",1
"135","Zootopia",5
