"","title","score.mean","score.sd"
"1","10 Cloverfield Lane",0.00234421708792863,0.00100978519591847
"2","Alice Through the Looking Glass",0.00769972660729132,0.00341793368675877
"3","Allied",0.00607458713687303,0.00316557625839597
"4","Alvin and the Chipmunks The Road Chip",0.0119947633162624,0.00664025632802536
"5","Arrival",0.00771534322004234,0.0033678391394072
"6","Assassin's Creed",0.0115428803907482,0.00494047021845681
"7","Bad Moms",0.0075565648381135,0.00465602325079015
"8","Bad Santa 2",0.00215153490085597,0.00154356150190034
"9","Bastille Day",0.00207541345759608,0.000978338516444937
"10","Batman v Superman: Dawn of Justice",0.0215111106537828,0.00883133802340891
"11","Ben-Hur",0.0040529703424993,0.00299667340615632
"12","Blair Witch",0.00223379845852273,0.0012409933178797
"13","Bridget Jones's Baby",0.0176777027530942,0.0107975114316708
"14","Brooklyn",0.00187127684512444,0.000543619599784143
"15","Cafe Society",0.00265862113031507,0.00179287482522579
"16","Captain America: Civil War",0.0189117648798422,0.00593867306152017
"17","Captain Fantastic",0.0020209772369001,0.000758116817090704
"18","Capture the Flag (Atrapa la bandera)",0.00223779049370296,0.00122167862545458
"19","Carol",0.00272472165600135,0.000903974333510957
"20","Central Intelligence",0.00724091429377647,0.00335928038880942
"21","Collateral Beauty",0.00354015703765025,0.00197960008829987
"22","Concussion",0.00193403010918932,0.000669925985461301
"23","Creed",0.00418403594408007,0.00231306903807818
"24","Criminal",0.00188772063719042,0.000925590497704163
"25","Daddy's Home",0.004570762684086,0.0029066469295861
"26","Deadpool",0.0270427950487249,0.00886494416434786
"27","Deepwater Horizon",0.00314573768711671,0.00167231786547043
"28","Dirty Grandpa",0.0133998739528781,0.0111819287817824
"29","Doctor Strange",0.0160083380283726,0.00657396495613294
"30","Don't Breathe",0.00378938206238946,0.00193824359500106
"31","Eddie the Eagle",0.00211662078627158,0.00204295060493251
"32","Elle",0.00195423164372161,0.00106592783655204
"33","En man som heter Ove",0.00285260353799665,0.00204830535865197
"34","Eye in the Sky",0.00216941810243404,0.00115207827852829
"35","Fantastic Beasts and Where To Find Them",0.0261182329357543,0.00851687340507475
"36","Fifty Shades of Black",0.00413630564316088,0.00203520033432425
"37","Finding Dory",0.0239336354959396,0.0127419924740352
"38","Florence Foster Jenkins",0.00229352949728203,0.00142532923365164
"39","Ghostbusters",0.00397528096834974,0.00218114583829382
"40","Gods of Egypt",0.00737559359773784,0.00627100442341309
"41","Goosebumps",0.00374778283598056,0.00220980003197986
"42","Hacksaw Ridge",0.0068134068540157,0.00628462517591058
"43","Hail, Caesar!",0.00234462576308767,0.000930521172180307
"44","Hardcore Henry",0.00147307599700231,0.000259305261020889
"45","Hell or High Water",0.00168116291360521,0.000870766881112641
"46","How to Be Single",0.0071734040272956,0.00314450497210325
"47","I, Daniel Blake",0.00260237850304113,0.00127208866839347
"48","Ice Age: Collision Course",0.0219195784961616,0.0114800806123877
"49","Independence Day: Resurgence",0.00949892968592995,0.00352939678141672
"50","Inferno",0.0144358259171466,0.00682137059092566
"51","Jack Reacher: Never Go Back",0.00512502162779453,0.00207900033068614
"52","Jason Bourne",0.0108163204617118,0.00481561896565646
"53","Joy",0.00359595716863562,0.00198051143713443
"54","Julieta",0.00224647490212899,0.00113437759535499
"55","Kubo and the Two Strings",0.00215101160617538,0.000606592427664945
"56","Kung Fu Panda 3",0.0141500951303745,0.00638382472258254
"57","La La Land",0.00669925694201506,0.00252524356893536
"58","Les Visiteurs 3: la Terreur (The Visitors: Bastille Day)",0.00424652242248632,0.00480147577647824
"59","Lights Out",0.00441694847141147,0.00231693801215316
"60","London Has Fallen",0.00650122808656664,0.00415774849328961
"61","Masterminds",0.00432611126492864,0.00181884938703331
"62","Me Before You",0.00902230216277053,0.00757338375972795
"63","Mechanic: Resurrection",0.00582750080384488,0.00483175251400401
"64","Mike and Dave Need Wedding Dates",0.00390895184554294,0.00285077201225896
"65","Miss Peregrine's Home for Peculiar Children",0.00925054572114777,0.00434201592510271
"66","Moana",0.0160041458138721,0.00641983899773614
"67","Money Monster",0.00341688849630273,0.00182621233998778
"68","Mother's Day",0.00320715317553737,0.00147376060807604
"69","My Big Fat Greek Wedding 2",0.00332372930140634,0.00229166095783233
"70","Neighbors 2: Sorority Rising",0.00593675501941933,0.0031993386297532
"71","Nerve",0.00489288090977919,0.00300312576782086
"72","Nine Lives",0.00251695600685062,0.000923236011794923
"73","Nocturnal Animals",0.00206441634009717,0.000792919507417885
"74","Norm of the North",0.00428537961814447,0.00285653431291505
"75","Now You See Me 2",0.0113776768437859,0.00674852939897585
"76","Office Christmas Party",0.00673448510227187,0.00487836498603301
"77","Ouija: Origin of Evil",0.00312942654939427,0.00143800232469747
"78","Passengers",0.0116747348673199,0.00525781219392244
"79","Pete's Dragon",0.00394750042780672,0.00199993482235001
"80","Point Break",0.00529606479090032,0.00408863528922074
"81","Ratchet & Clank",0.00157697746055385,0.00079691305994099
"82","Ride Along 2",0.00446589409389287,0.00319395288492845
"83","Risen",0.00177566418653518,0.000495939738003718
"84","Robinson Crusoe",0.00450876879993226,0.00332784484918265
"85","Rogue One: A Star Wars Story",0.0302965038332105,0.014402988276613
"86","Room",0.0023772650252552,0.00114107267384079
"87","Sausage Party",0.00505210709602553,0.00276698848264223
"88","Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)",0.00296548692277835,0.00195637967863358
"89","Sing",0.0205765129784423,0.00765105592762339
"90","Sisters",0.00286083207449822,0.00149606739688213
"91","Snowden",0.00262148651197661,0.00122358837829212
"92","Spotlight",0.00374743983003721,0.00207986044028548
"93","Star Trek Beyond",0.00672933184227431,0.00402584238969271
"94","Storks",0.00787055364023706,0.00369516931633289
"95","Suicide Squad",0.0253306675858419,0.00709935316689013
"96","Sully",0.00532220421966802,0.00305694768426939
"97","Teenage Mutant Ninja Turtles: Out of the Shadows",0.00399776949489275,0.00229704484505827
"98","The 5th Wave",0.00384971602724337,0.00157301060612112
"99","The Accountant",0.00486745809352361,0.00303480861957464
"100","The Angry Birds Movie",0.0169281383009992,0.00980327551603192
"101","The BFG",0.0071423315896917,0.00506749447618004
"102","The Big Short",0.00394621098019881,0.00253258634282807
"103","The Boss",0.00347543321463116,0.00205202467625302
"104","The Boy",0.00273737702408056,0.00099566543157517
"105","The Brothers Grimsby",0.00388481764513506,0.00293454894068727
"106","The Choice",0.00158475878490902,0.000360203571775505
"107","The Conjuring 2",0.00771805214346384,0.00333223105659625
"108","The Danish Girl",0.00346033516713675,0.00194063500938743
"109","The Divergent Series: Allegiant",0.00705442717148882,0.00391292779085562
"110","The Finest Hours",0.00395358514473989,0.00245133464223689
"111","The Forest",0.0026092604074097,0.000910646285291415
"112","The Girl on the Train",0.00839204606845377,0.0066457157611465
"113","The Hateful Eight",0.00970384766046978,0.00435198430464905
"114","The Huntsman Winter's War",0.00579775190115582,0.00262073067766639
"115","The Infiltrator",0.00179339062257969,0.00115481931654509
"116","The Jungle Book",0.0194381086576081,0.0110866418419428
"117","The Legend of Tarzan",0.00947861731464964,0.00363257920111398
"118","The Light Between Oceans",0.00177360612517062,0.000499952670325807
"119","The Magnificent Seven",0.00460956987170078,0.00195892393795991
"120","The Nice Guys",0.00303130225381128,0.00172071087799714
"121","The Purge: Election Year",0.00295863617104316,0.00127038197184974
"122","The Revenant",0.0208983500431928,0.00897543795726015
"123","The Secret Life of Pets",0.0322403803515344,0.011139619990968
"124","The Shallows",0.00336806924979614,0.00244364376233378
"125","Tini: El gran cambio de Violetta",0.00218216217550929,0.0008126743822984
"126","Toni Erdmann",0.00246383990454198,0.0013708051851459
"127","Triple 9",0.00174614769312937,0.00046844603214746
"128","Trolls",0.014271526640688,0.00534662214698803
"129","Underworld: Blood Wars",0.003877010765559,0.00277889169819861
"130","War Dogs",0.00531544217122245,0.00283152013164179
"131","Warcraft",0.0142874954642064,0.00700005700142226
"132","Why Him?",0.0099881247957322,0.00766502177988489
"133","X-Men: Apocalypse",0.00964567446706988,0.0030415053144236
"134","Zoolander 2",0.00215079211118115,0.00128319194736487
"135","Zootopia",0.0237584952402053,0.00815007587610562
