"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"Austria",-3.1095523528368,4.55570999202657,1.57549763081627,1.08668489116185,1.45837953909006,2.18341143102492,-0.206881746823293,0.932441799302192,-0.610647088617669,0.252245358474437,-1.89409296963184,0.113345915504437
"Belgium and Luxembourg",-2.05071867200678,4.37275492525684,2.19945675997869,-1.33301368134071,-2.4624850162164,1.86159331092177,-0.0677339850646048,-0.449058405804027,0.497414045209559,0.805692752445145,1.17682472625172,-0.659188471582943
"Bulgaria",-0.115812883221563,2.14052655838635,-2.95474693766041,1.17658645828791,-1.14202875495094,-0.126269018259759,-1.81173310388949,2.3149497683424,1.94737563256092,-0.259935287414487,-1.55391917216493,0.595280432064247
"Croatia",-9.66912450738326,-2.73599864083143,0.228458614721712,-3.01517317255895,-1.13510735137338,-0.692648618239717,-0.0127009686411528,-0.188349061069816,-0.984344596784975,0.111602805125899,-0.212469401720507,0.402235810697123
"Czech Republic",0.763563594409169,0.213498156669373,0.101767699925682,-0.195900454861453,1.40686976131721,0.615722168504566,2.06450468073191,-2.29348146180091,0.944772385332651,2.05101310221713,-0.47511724880055,1.06489296530351
"Finland",-0.656782509317395,-1.43906048181468,0.886289374611183,1.31860305371771,1.8990519108092,-0.445280668833665,2.02433671290593,0.564894869751186,0.188125834745259,-0.197205393906874,-0.746923939099466,-2.49452042056945
"France and Algeria, Monaco, Morocco and Tunisia",2.30604389146081,0.53168847153988,0.282065420459592,-1.75325815716382,0.286859635436704,1.64315987340056,-1.4510806027517,-0.629066634251911,1.42307859220527,0.37644098230318,1.36749171216749,-0.783600028922181
"Germany",-0.229162197853808,2.71215446266957,-0.202863277547991,1.83442267230282,3.10859939781297,-1.00081484196074,-0.875632466095449,0.0419831785360428,-0.999733770859669,-0.309788606903054,1.11050771340816,0.226433041044673
"Hungary",-3.2472905474797,0.0525646691544688,-2.06921297715547,1.57681165130857,3.09323787269739,-2.44469422994356,-1.23007484672353,-0.454058303196299,0.218464178618889,0.0078691593180538,1.51787152519369,-0.653132416818886
"Iceland",2.7223900597296,-0.811569736280648,0.820299422466564,0.798915632461214,-1.748724087501,-2.28734625407242,-1.40929472615655,-0.85884152739035,-0.663957803073811,-0.0305769475038033,-1.12506283804568,-0.378043515982805
"Italy",2.14566342203682,-0.428363258836487,0.593491627226709,-1.14440559629838,2.5241862345886,2.16334242590458,1.09727585697509,-0.4907813237324,-0.764271556816907,-2.26525963561445,-0.376692863728863,1.32272582012163
"Lithuania",1.06133093712469,-3.87433369205511,-1.24382673327008,1.44790337533199,-1.48651777049031,2.66476097766852,-0.272689464609925,0.340192365257705,-0.553463805350073,0.409477948731398,0.0939784378556256,-0.660185830809955
"Netherlands",0.816924589427143,-0.300657049070487,2.60626452483359,1.46285906146887,-0.631587116585554,-0.904043825230518,2.20115805860705,1.1908880777106,-0.417734629831173,-0.697741088690747,1.22891656491335,0.963309699215473
"Norway",0.988125088440218,-1.81331486018257,1.54431745262791,1.76357478746008,-0.665365256097369,-1.69587006057787,0.860007067781894,2.16773388774486,-0.49368161975965,2.02485346725818,-0.212768171576079,0.803435130075633
"Portugal and Angola",-0.278114419102069,-0.420340571853597,0.262666544268877,-0.960730410569757,-1.78190901536778,-0.232055294538938,0.134977378792581,0.924586888174713,-0.105659608275039,-2.40825135022655,0.0850282501776531,-0.392432040522161
"Romania",1.88998544448271,0.475151970255775,-2.13437843225337,-3.02245826145913,-0.15624088485029,-1.27219689205892,-0.00112182467031619,1.54932132871133,0.275443534931639,0.366611474479616,1.25258312670285,1.15364236278844
"Slovakia",0.409267799886828,-0.791945873308568,-1.15153413772027,1.30951101331083,-0.773283924373424,-0.0539112745533919,-1.96596087609246,-2.75376536524386,-1.82731308446892,-0.0422332468500733,-0.696735999508841,0.822977486462667
"Slovenia",-1.93395097126466,-3.02070913571724,-0.880406923339428,2.9423546360411,-0.646817564729602,1.99188354752522,0.330002493812294,-0.755667100997982,2.81392581345261,-0.54932389662055,0.584486596465662,0.538884625210326
"Spain",2.51717255358772,0.32629111402277,0.531621183738318,0.742023938864851,-1.56106699112129,1.40736698868296,-0.904400115348542,0.407086903894887,-2.29753588436546,0.391934035014327,0.984230690377487,-0.551069079577725
"Turkey",2.51032303039474,-2.81466365520838,-0.133212425023133,-3.96316274654748,2.85748066206141,0.768002144777464,-0.969869365495947,1.03346122206503,-0.0037303442548425,0.775497235084362,-0.930050055033544,-0.540649685984276
"Ukraine",1.37589792345381,2.70452467413382,-4.73715592245082,-1.0057379548524,-1.76986821671519,-1.18318454634763,3.17125127250992,-1.10901993856741,-0.502208960786511,-0.156578304422923,-0.489318474842632,-0.76436684770731
"United Kingdom, Ireland and Malta",1.78382072603176,0.36609196104378,3.87514151074587,-1.06641073606571,-0.673663063441022,-2.96092734379343,-0.704339429753717,-1.48545116743598,1.91568273618791,-0.656344562298213,-0.688768209360755,-0.129974950010456
